className	schemaName	genDoc
AttachmentData	org.sagebionetworks.repo.model.attachment.AttachmentData	false
Settings	org.sagebionetworks.repo.model.message.Settings	true
UserPreference	org.sagebionetworks.repo.model.UserPreference	false
UserPreferenceBoolean	org.sagebionetworks.repo.model.UserPreferenceBoolean	false
UserProfile	org.sagebionetworks.repo.model.UserProfile false
Evaluation	org.sagebionetworks.evaluation.model.Evaluation	false
AnnotationBase	org.sagebionetworks.repo.model.annotation.AnnotationBase	false
DoubleAnnotation	org.sagebionetworks.repo.model.annotation.DoubleAnnotation	false
LongAnnotation	org.sagebionetworks.repo.model.annotation.LongAnnotation false
StringAnnotation	org.sagebionetworks.repo.model.annotation.StringAnnotation	false
Annotations	org.sagebionetworks.repo.model.annotation.Annotations	false
SubmissionMetadata	org.sagebionetworks.evaluation.model.Submission	false
SubmissionStatus	org.sagebionetworks.evaluation.model.SubmissionStatus	false
Participant	org.sagebionetworks.evaluation.model.Participant	false
WikiHeader	org.sagebionetworks.repo.model.wiki.WikiHeader	false
ResourceAccess	org.sagebionetworks.repo.model.ResourceAccess	true
AccessControlList	org.sagebionetworks.repo.model.AccessControlList	true
FileHandle	org.sagebionetworks.repo.model.file.FileHandle	false
HasPreviewId	org.sagebionetworks.repo.model.file.HasPreviewId	false
S3FileHandleInterface	org.sagebionetworks.repo.model.file.S3FileHandleInterface	false
S3FileHandle	org.sagebionetworks.repo.model.file.S3FileHandle	false
LogEntry	org.sagebionetworks.repo.model.LogEntry	false
UploadDestination	org.sagebionetworks.repo.model.file.UploadDestination	false
S3UploadDestination	org.sagebionetworks.repo.model.file.S3UploadDestination	false
ExternalUploadDestination	org.sagebionetworks.repo.model.file.ExternalUploadDestination	false
UploadDestinationSetting	org.sagebionetworks.repo.model.project.UploadDestinationSetting	false
ExternalUploadDestinationSetting	org.sagebionetworks.repo.model.project.ExternalUploadDestinationSetting	false
ProjectSetting	org.sagebionetworks.repo.model.project.ProjectSetting	false
S3UploadDestinationSetting	org.sagebionetworks.repo.model.project.S3UploadDestinationSetting	false
UploadDestinationListSetting	org.sagebionetworks.repo.model.project.UploadDestinationListSetting	false


	
